gene	spp	sumOfgenes
EOG82VBZC	7	7
EOG82VBZD	2	2
EOG82VBZF	2	2
EOG82VBZG	3	3
EOG82VBZH	7	8
EOG82VBZJ	2	2
EOG82VBZK	11	11
EOG82VBZM	27	40
EOG82VBZN	3	4
EOG82VBZP	7	7
EOG82VBZR	5	5
EOG82VBZS	10	12
EOG82VBZT	60	61
EOG82VBZV	3	3
EOG82VBZW	4	4
EOG82VBZX	28	30
EOG82VBZZ	6	6
EOG82VC00	5	5
EOG82VC01	17	24
EOG82VC02	4	5
EOG82VC03	11	31
EOG82VC04	9	11
EOG82VC05	2	2
EOG82VC06	4	4
EOG82VC07	11	12
EOG82VC09	3	3
EOG82VC0B	2	2
EOG82VC0C	8	8
EOG82VC0D	12	47
EOG82VC0F	3	3
EOG82VC0G	5	5
EOG82VC0H	9	9
EOG82VC0J	2	2
EOG82VC0K	3	3
EOG82VC0M	4	5
EOG82VC0N	2	2
EOG82VC0P	2	2
EOG82VC0Q	10	15
EOG82VC0R	2	2
EOG82VC0S	4	9
EOG82VC0V	4	4
EOG82VC0W	2	2
EOG82VC0X	2	2
EOG82VC0Z	4	6
EOG82VC11	2	2
EOG82VC14	2	3
EOG82VC16	4	4
EOG82VC17	2	2
EOG82VC18	2	4
EOG82VC19	3	3
EOG82VC1B	2	2
EOG82VC1C	3	5
EOG82VC1D	2	2
EOG82VC1G	2	2
EOG82VC1H	2	3
EOG82VC1M	2	2
EOG82VC1P	2	2
EOG82VC1Q	2	2
EOG82VC1R	2	2
EOG82VC1T	3	11
EOG82VC1X	4	4
EOG82VC1Z	2	2
EOG82VC20	3	3
EOG82VC22	2	2
EOG82VC23	4	6
EOG82VC25	5	6
EOG82VC26	4	4
EOG82VC28	2	3
EOG82VC29	2	2
EOG82VC2B	3	3
EOG82VC2C	5	5
EOG82Z73Z	70	104
EOG82Z740	32	36
EOG82Z741	69	74
EOG82Z742	60	65
EOG82Z743	5	6
EOG82Z744	3	3
EOG82Z745	21	21
EOG82Z746	53	58
EOG82Z747	13	31
EOG82Z748	12	12
EOG82Z749	46	77
EOG82Z74B	65	75
EOG82Z74C	39	46
EOG82Z74D	19	41
EOG82Z74F	64	103
EOG82Z74G	46	57
EOG82Z74H	64	77
EOG82Z74J	10	10
EOG82Z74K	28	30
EOG82Z74M	4	5
EOG82Z74N	3	4
EOG82Z74P	8	9
EOG82Z74Q	4	4
EOG82Z74R	8	14
EOG82Z74S	75	146
EOG82Z74T	72	82
EOG82Z74V	3	3
EOG82Z74W	12	12
EOG82Z74X	6	9
EOG82Z74Z	3	4
EOG82Z750	4	4
EOG82Z751	5	5
EOG82Z752	12	52
EOG82Z753	3	4
EOG82Z754	68	70
EOG82Z755	2	2
EOG82Z756	68	85
EOG82Z757	3	3
EOG82Z758	4	5
EOG82Z75B	66	69
EOG82Z75C	70	135
EOG82Z75D	6	7
EOG82Z75F	70	83
EOG82Z75G	68	70
EOG82Z75H	21	25
EOG82Z75J	4	8
EOG82Z75K	5	14
EOG82Z75M	71	107
EOG82Z75N	73	95
EOG82Z75P	2	27
EOG82Z75Q	22	25
EOG82Z75R	3	3
EOG82Z75S	57	59
EOG82Z75T	5	6
EOG82Z75V	11	11
EOG82Z75W	3	3
EOG82Z75X	2	2
EOG82Z75Z	2	2
EOG82Z760	6	6
EOG82Z761	3	3
EOG82Z762	70	82
EOG82Z763	6	7
EOG82Z764	2	2
EOG82Z766	6	8
EOG82Z767	67	68
EOG82Z769	6	7
EOG82Z76B	4	4
EOG82Z76C	7	7
EOG82Z76D	66	99
EOG82Z76F	72	84
EOG82Z76G	8	8
EOG82Z76H	65	66
EOG82Z76J	3	3
EOG82Z76K	7	7
EOG82Z76M	2	2
EOG82Z76P	4	4
EOG82Z76T	2	2
EOG82Z76V	5	5
EOG82Z76Z	2	2
EOG82Z771	19	21
EOG82Z772	4	4
EOG82Z773	7	7
EOG82Z774	48	51
EOG82Z775	3	3
EOG82Z776	9	9
EOG82Z778	22	24
EOG82Z779	2	2
EOG82Z77B	3	3
EOG82Z77D	3	4
EOG82Z77G	3	3
EOG82Z77H	6	6
EOG82Z77J	4	4
EOG82Z77K	4	8
EOG82Z77M	4	5
EOG82Z77N	2	2
EOG82Z77P	2	2
EOG82Z77Q	8	17
EOG82Z77R	4	4
EOG82Z77T	2	2
EOG82Z77W	3	5
EOG82Z780	2	2
EOG82Z781	3	5
EOG82Z782	2	2
EOG82Z783	2	2
EOG82Z785	2	2
EOG82Z788	2	2
EOG82Z789	2	2
EOG82Z78D	2	2
EOG82Z78F	2	2
EOG82Z78H	2	10
EOG82Z78J	2	2
EOG82Z78K	2	2
EOG82Z78M	3	4
EOG82Z78N	5	5
EOG82Z78P	8	8
EOG82Z78Q	2	3
EOG82Z78R	2	2
EOG82Z78S	3	4
EOG82Z78V	3	3
EOG82Z78W	2	2
EOG82Z78X	2	2
EOG82Z78Z	3	3
EOG82Z791	4	4
EOG82Z792	2	2
EOG82Z793	2	3
EOG82Z794	2	2
EOG82Z797	3	3
EOG8323BV	39	43
EOG8323BW	11	14
EOG8323BX	55	59
EOG8323BZ	73	91
EOG8323C0	2	2
EOG8323C1	13	15
EOG8323C2	74	81
EOG8323C3	69	78
EOG8323C4	9	9
EOG8323C5	75	81
EOG8323C6	72	75
EOG8323C7	2	2
EOG8323C8	72	94
EOG8323C9	6	7
EOG8323CB	2	5
EOG8323CC	35	38
EOG8323CD	76	189
EOG8323CF	6	6
EOG8323CG	74	89
EOG8323CH	6	8
EOG8323CJ	68	73
EOG8323CK	16	21
EOG8323CM	61	64
EOG8323CN	11	18
EOG8323CP	3	3
EOG8323CQ	10	11
EOG8323CR	4	4
EOG8323CS	4	4
EOG8323CT	5	5
EOG8323CV	73	106
EOG8323CW	9	10
EOG8323CX	25	25
EOG8323CZ	31	378
EOG8323D0	41	71
EOG8323D1	11	13
EOG8323D2	31	32
EOG8323D3	8	14
EOG8323D5	9	13
EOG8323D6	4	5
EOG8323D7	4	4
EOG8323D8	2	2
EOG8323D9	52	67
EOG8323DB	28	37
EOG8323DD	9	9
EOG8323DF	24	25
EOG8323DG	40	56
EOG8323DH	16	16
EOG8323DJ	24	24
EOG8323DK	73	79
EOG8323DM	69	71
EOG8323DN	72	74
EOG8323DP	6	6
EOG8323DQ	4	4
EOG8323DR	6	6
EOG8323DS	3	3
EOG8323DT	9	11
EOG8323DV	13	14
EOG8323DW	72	96
EOG8323DX	6	27
EOG8323DZ	70	93
EOG8323F0	13	83
EOG8323F1	40	46
EOG8323F2	71	74
EOG8323F3	70	73
EOG8323F4	4	4
EOG8323F5	4	4
EOG8323F6	16	16
EOG8323F7	71	76
EOG8323F8	6	6
EOG8323F9	4	4
EOG8323FB	7	7
EOG8323FD	5	6
EOG8323FF	9	10
EOG8323FH	49	56
EOG8323FJ	6	6
EOG8323FK	5	5
EOG8323FM	61	67
EOG8323FP	3	3
EOG8323FR	20	43
EOG8323FT	5	8
EOG8323FV	5	5
EOG8323FW	3	3
EOG8323FZ	27	27
EOG8323G0	3	3
EOG8323G4	4	4
EOG8323G5	3	3
EOG8323G6	3	3
EOG8323G7	6	6
EOG8323G8	11	11
EOG8323G9	3	3
EOG8323GD	3	3
EOG8323GG	3	3
EOG8323GH	3	3
EOG8323GJ	2	2
EOG8323GM	3	3
EOG8323GQ	2	2
EOG8323GR	2	2
EOG8323GV	2	2
EOG8323GW	2	2
EOG8323H3	2	2
EOG8323H4	4	7
EOG8323H5	2	2
EOG8323H6	4	4
EOG8323H7	2	2
EOG8323H9	3	3
EOG8323HB	2	2
EOG8323HG	2	4
EOG8323HH	5	11
EOG8323HK	4	4
EOG8323HM	2	2
EOG8323HN	2	2
EOG8323HT	3	3
EOG8323HV	5	5
EOG8323HW	2	2
EOG8323HX	2	2
EOG8323J0	2	2
EOG8323J1	6	13
EOG8323J2	2	2
EOG8323J3	2	10
EOG8323J5	3	11
EOG834ZKT	8	8
EOG834ZKV	18	26
EOG834ZKW	75	95
EOG834ZKX	72	82
EOG834ZKZ	7	7
EOG834ZM0	75	171
EOG834ZM1	24	26
EOG834ZM2	25	25
EOG834ZM3	24	44
EOG834ZM4	8	8
EOG834ZM5	8	10
EOG834ZM6	70	77
EOG834ZM7	73	88
EOG834ZM8	11	11
EOG834ZM9	3	4
EOG834ZMB	74	111
EOG834ZMC	2	3
EOG834ZMD	70	107
EOG834ZMF	73	78
EOG834ZMG	30	36
EOG834ZMH	9	11
EOG834ZMJ	65	70
EOG834ZMK	73	97
EOG834ZMM	5	5
EOG834ZMN	8	10
EOG834ZMP	36	177
EOG834ZMQ	67	71
EOG834ZMR	3	4
EOG834ZMS	48	55
EOG834ZMT	15	37
EOG834ZMV	7	8
EOG834ZMW	5	10
EOG834ZMX	12	17
EOG834ZMZ	9	9
EOG834ZN0	5	5
EOG834ZN1	4	6
EOG834ZN2	56	65
EOG834ZN3	68	70
EOG834ZN4	64	247
EOG834ZN6	46	51
EOG834ZN7	27	46
EOG834ZN8	70	76
EOG834ZN9	69	73
EOG834ZNB	44	47
EOG834ZNC	4	6
EOG834ZND	5	5
EOG834ZNF	20	56
EOG834ZNG	13	15
EOG834ZNH	14	28
EOG834ZNJ	4	4
EOG834ZNK	74	81
EOG834ZNM	11	12
EOG834ZNN	74	84
EOG834ZNP	12	15
EOG834ZNQ	34	41
EOG834ZNR	2	2
EOG834ZNT	5	6
EOG834ZNW	3	3
EOG834ZNX	67	69
EOG834ZNZ	67	69
EOG834ZP0	3	3
EOG834ZP1	2	2
EOG834ZP2	67	70
EOG834ZP3	4	5
EOG834ZP5	65	68
EOG834ZP6	34	308
EOG834ZP7	3	3
EOG834ZP8	19	21
EOG834ZP9	2	2
EOG834ZPB	12	13
EOG834ZPC	5	5
EOG834ZPD	5	5
EOG834ZPF	4	4
EOG834ZPG	4	4
EOG834ZPH	4	5
EOG834ZPJ	4	5
EOG834ZPN	8	15
EOG834ZPP	4	4
EOG834ZPQ	53	64
EOG834ZPS	6	6
EOG834ZPT	3	3
EOG834ZPV	22	107
EOG834ZPZ	5	5
EOG834ZQ0	10	11
EOG834ZQ2	5	5
EOG834ZQ3	10	12
EOG834ZQ4	3	3
EOG834ZQ6	7	7
EOG834ZQ8	21	26
EOG834ZQB	5	5
EOG834ZQD	4	8
EOG834ZQF	15	15
EOG834ZQG	10	17
EOG834ZQH	4	7
EOG834ZQJ	5	6
EOG834ZQK	2	3
EOG834ZQN	3	3
EOG834ZQP	4	5
EOG834ZQQ	3	3
EOG834ZQR	2	2
EOG834ZQT	2	2
EOG834ZQV	3	5
EOG834ZQW	2	2
EOG834ZQX	2	2
EOG834ZQZ	2	2
EOG834ZR1	2	3
EOG834ZR4	2	2
EOG834ZR5	3	3
EOG834ZR6	6	9
EOG834ZR7	2	2
EOG834ZR8	2	2
EOG834ZR9	2	2
EOG834ZRF	3	3
EOG834ZRH	2	2
EOG834ZRK	2	2
EOG834ZRM	2	2
EOG834ZRN	3	8
EOG834ZRP	2	2
EOG834ZRQ	2	2
EOG834ZRR	2	2
EOG834ZRS	4	4
EOG834ZRT	2	2
EOG834ZRV	5	12
EOG834ZRW	3	6
EOG834ZRX	2	4
EOG834ZRZ	2	2
EOG834ZS0	2	2
EOG834ZS1	3	3
EOG834ZS2	2	2
EOG834ZS3	2	2
EOG834ZS5	3	3
EOG837TTP	75	116
EOG837TTQ	72	109
EOG837TTR	71	102
EOG837TTS	74	81
EOG837TTT	7	7
EOG837TTV	5	5
EOG837TTW	9	10
EOG837TTX	3	4
EOG837TTZ	23	23
EOG837TV0	3	6
EOG837TV1	24	49
EOG837TV2	6	6
EOG837TV3	64	70
EOG837TV4	3	3
EOG837TV5	58	102
EOG837TV6	73	85
EOG837TV7	65	77
EOG837TV8	13	19
EOG837TV9	7	8
EOG837TVB	6	7
EOG837TVC	3	3
EOG837TVD	75	77
EOG837TVF	19	20
EOG837TVG	3	3
EOG837TVH	2	2
EOG837TVJ	44	53
EOG837TVK	2	2
EOG837TVM	75	150
EOG837TVN	11	83
EOG837TVP	9	9
EOG837TVQ	7	9
EOG837TVR	3	3
EOG837TVS	8	13
EOG837TVT	73	90
EOG837TVV	72	87
EOG837TVW	71	73
EOG837TVZ	72	81
EOG837TW1	8	9
EOG837TW2	6	8
EOG837TW3	11	11
EOG837TW4	2	2
EOG837TW5	63	74
EOG837TW6	7	7
EOG837TW7	23	32
EOG837TW8	61	63
EOG837TW9	32	49
EOG837TWB	5	9
EOG837TWC	3	3
EOG837TWD	15	16
EOG837TWF	4	4
EOG837TWG	56	57
EOG837TWH	57	67
EOG837TWJ	33	34
EOG837TWK	65	108
EOG837TWM	10	37
EOG837TWN	69	70
EOG837TWP	5	6
EOG837TWQ	4	4
EOG837TWR	4	4
EOG837TWS	3	3
EOG837TWT	4	4
EOG837TWV	71	81
EOG837TWW	64	73
EOG837TWX	3	3
EOG837TWZ	44	46
EOG837TX0	3	3
EOG837TX1	18	20
EOG837TX2	33	36
EOG837TX3	59	60
EOG837TX4	70	73
EOG837TX5	4	4
EOG837TX6	10	10
EOG837TX7	3	3
EOG837TX8	6	6
EOG837TXB	11	11
EOG837TXC	2	2
EOG837TXF	9	10
EOG837TXG	2	2
EOG837TXH	53	124
EOG837TXJ	3	3
EOG837TXK	3	3
EOG837TXM	6	7
EOG837TXN	5	5
EOG837TXR	64	83
EOG837TXV	7	7
EOG837TXW	8	8
EOG837TXZ	11	26
EOG837TZ0	17	41
EOG837TZ1	27	27
EOG837TZ3	6	6
EOG837TZ6	4	5
EOG837TZ7	3	3
EOG837TZ8	7	11
EOG837TZC	3	4
EOG837TZG	2	2
EOG837TZH	4	7
EOG837TZJ	2	2
EOG837TZK	3	3
EOG837TZN	2	3
EOG837TZP	3	9
EOG837TZQ	2	2
EOG837TZS	3	3
EOG837TZT	2	4
EOG837TZV	2	2
EOG837TZW	4	4
EOG837TZX	2	2
EOG837V00	2	2
EOG837V01	2	2
EOG837V03	4	8
EOG837V06	3	4
EOG837V07	2	2
EOG837V08	2	2
EOG837V09	5	10
EOG837V0B	2	2
EOG837V0C	2	2
EOG837V0D	3	3
EOG837V0F	3	3
EOG837V0G	2	2
EOG837V0J	2	2
EOG837V0M	2	2
EOG837V0Q	2	2
EOG837V0R	2	2
EOG837V0S	2	3
EOG837V0T	2	2
EOG837V0V	2	2
EOG837V0W	3	4
EOG837V0X	2	2
EOG83BQ2N	8	8
EOG83BQ2P	71	79
EOG83BQ2Q	20	21
EOG83BQ2R	5	7
EOG83BQ2S	9	10
EOG83BQ2T	2	2
EOG83BQ2V	4	4
EOG83BQ2W	74	85
EOG83BQ2X	7	7
EOG83BQ2Z	43	48
EOG83BQ30	5	5
EOG83BQ31	60	80
EOG83BQ32	70	86
EOG83BQ33	58	192
EOG83BQ35	8	8
EOG83BQ36	74	87
EOG83BQ37	58	64
EOG83BQ38	6	13
EOG83BQ39	21	21
EOG83BQ3C	13	16
EOG83BQ3D	14	19
EOG83BQ3F	63	83
EOG83BQ3G	70	73
EOG83BQ3H	75	90
EOG83BQ3J	2	2
EOG83BQ3K	74	89
EOG83BQ3M	29	30
EOG83BQ3N	19	27
EOG83BQ3P	8	8
EOG83BQ3Q	14	14
EOG83BQ3R	2	2
EOG83BQ3S	4	5
EOG83BQ3T	62	79
EOG83BQ3V	69	85
EOG83BQ3W	23	29
EOG83BQ3X	61	71
EOG83BQ3Z	4	4
EOG83BQ40	29	32
EOG83BQ41	17	21
EOG83BQ42	13	14
EOG83BQ43	71	76
EOG83BQ44	3	3
EOG83BQ45	34	36
EOG83BQ47	12	12
EOG83BQ48	42	46
EOG83BQ49	70	76
EOG83BQ4B	34	59
EOG83BQ4C	2	3
EOG83BQ4D	74	139
EOG83BQ4F	6	8
EOG83BQ4G	3	3
EOG83BQ4H	6	7
EOG83BQ4J	14	20
EOG83BQ4K	57	93
EOG83BQ4M	39	40
EOG83BQ4N	71	79
EOG83BQ4P	31	31
EOG83BQ4Q	3	3
EOG83BQ4R	4	4
EOG83BQ4S	3	3
EOG83BQ4T	5	5
EOG83BQ4V	42	55
EOG83BQ4W	12	18
EOG83BQ4X	12	13
EOG83BQ4Z	3	3
EOG83BQ51	2	2
EOG83BQ54	5	8
EOG83BQ55	5	5
EOG83BQ56	7	11
EOG83BQ57	6	7
EOG83BQ58	4	4
EOG83BQ59	4	4
EOG83BQ5B	3	3
EOG83BQ5C	13	13
EOG83BQ5D	4	4
EOG83BQ5F	7	8
EOG83BQ5G	12	28
EOG83BQ5H	19	19
EOG83BQ5J	3	3
EOG83BQ5K	3	4
EOG83BQ5M	3	3
EOG83BQ5N	49	57
EOG83BQ5P	3	4
EOG83BQ5Q	10	10
EOG83BQ5R	3	3
EOG83BQ5S	21	26
EOG83BQ5T	5	5
EOG83BQ5V	3	3
EOG83BQ5W	3	3
EOG83BQ5X	41	43
EOG83BQ5Z	3	3
EOG83BQ60	4	4
EOG83BQ61	5	5
EOG83BQ62	4	4
EOG83BQ63	24	55
EOG83BQ64	4	4
EOG83BQ65	4	4
EOG83BQ66	10	11
EOG83BQ67	3	3
EOG83BQ69	3	3
EOG83BQ6B	4	9
EOG83BQ6C	2	2
EOG83BQ6D	2	2
EOG83BQ6F	2	2
EOG83BQ6H	3	4
EOG83BQ6J	4	4
EOG83BQ6M	3	4
EOG83BQ6N	2	2
EOG83BQ6S	5	5
EOG83BQ6V	5	6
EOG83BQ6W	2	2
EOG83BQ6X	2	2
EOG83BQ6Z	2	2
EOG83BQ70	3	3
EOG83BQ71	2	2
EOG83BQ72	2	2
EOG83BQ75	2	2
EOG83BQ76	3	3
EOG83BQ77	2	2
EOG83BQ79	3	3
EOG83BQ7B	4	4
EOG83BQ7F	4	5
EOG83BQ7H	3	3
EOG83BQ7J	4	4
EOG83BQ7K	2	2
EOG83BQ7M	4	6
EOG83BQ7N	4	5
EOG83BQ7P	3	3
EOG83BQ7R	3	3
EOG83BQ7S	3	3
EOG83BQ7T	2	2
EOG83BQ7V	4	9
EOG83BQ7W	4	5
EOG83BQ7X	2	4
EOG83BQ7Z	2	2
EOG83FK9M	73	404
EOG83FK9N	42	55
EOG83FK9P	76	89
EOG83FK9Q	76	107
EOG83FK9R	22	23
EOG83FK9S	69	76
EOG83FK9T	52	78
EOG83FK9V	4	4
EOG83FK9W	2	2
EOG83FK9X	9	10
EOG83FK9Z	68	77
EOG83FKB0	74	104
EOG83FKB1	72	75
EOG83FKB2	4	4
EOG83FKB3	3	3
EOG83FKB4	73	94
EOG83FKB5	3	3
EOG83FKB6	26	28
EOG83FKB7	67	82
EOG83FKB8	22	34
EOG83FKB9	3	3
EOG83FKBB	72	79
EOG83FKBC	7	7
EOG83FKBF	9	22
EOG83FKBH	15	16
EOG83FKBJ	22	38
EOG83FKBK	5	10
EOG83FKBM	19	47
EOG83FKBN	72	88
EOG83FKBP	4	5
EOG83FKBQ	73	79
EOG83FKBR	4	5
EOG83FKBS	69	71
EOG83FKBT	11	11
EOG83FKBV	66	71
EOG83FKBW	5	6
EOG83FKBX	9	9
EOG83FKBZ	72	78
EOG83FKC0	5	9
EOG83FKC1	68	70
EOG83FKC2	4	4
EOG83FKC4	5	5
EOG83FKC5	20	21
EOG83FKC6	3	3
EOG83FKC7	6	6
EOG83FKC8	51	53
EOG83FKC9	17	29
EOG83FKCB	3	3
EOG83FKCC	10	92
EOG83FKCD	2	3
EOG83FKCF	2	2
EOG83FKCG	12	15
EOG83FKCH	7	11
EOG83FKCJ	5	7
EOG83FKCK	4	4
EOG83FKCM	5	6
EOG83FKCN	72	76
EOG83FKCP	12	12
EOG83FKCQ	68	81
EOG83FKCR	69	76
EOG83FKCS	16	17
EOG83FKCT	7	15
EOG83FKCV	10	11
EOG83FKCW	41	59
EOG83FKCX	7	8
EOG83FKCZ	5	6
EOG83FKD0	73	86
EOG83FKD1	2	2
EOG83FKD3	67	78
EOG83FKD4	4	9
EOG83FKD5	29	29
EOG83FKD7	3	3
EOG83FKD8	49	68
EOG83FKD9	55	58
EOG83FKDB	73	76
EOG83FKDF	7	7
EOG83FKDG	9	32
EOG83FKDH	13	13
EOG83FKDJ	11	11
EOG83FKDK	5	6
EOG83FKDM	3	3
EOG83FKDP	3	3
EOG83FKDQ	5	5
EOG83FKDR	6	10
EOG83FKDS	3	3
EOG83FKDT	5	7
EOG83FKDV	2	2
EOG83FKDX	5	5
EOG83FKDZ	29	47
EOG83FKF1	9	9
EOG83FKF2	3	3
EOG83FKF3	9	11
EOG83FKF4	2	2
EOG83FKF5	38	58
EOG83FKF7	4	4
EOG83FKF9	10	16
EOG83FKFB	3	3
EOG83FKFG	2	3
EOG83FKFJ	2	2
EOG83FKFK	2	2
EOG83FKFM	2	2
EOG83FKFN	3	3
EOG83FKFR	3	3
EOG83FKFS	2	2
EOG83FKFV	2	2
EOG83FKFZ	2	2
EOG83FKG1	2	2
EOG83FKG2	3	3
EOG83FKG3	3	3
EOG83FKG4	2	2
EOG83FKG5	2	2
EOG83FKG6	5	28
EOG83FKG8	2	3
EOG83FKG9	2	3
EOG83FKGB	2	2
EOG83FKGC	2	2
EOG83FKGF	3	3
EOG83FKGG	2	2
EOG83FKGH	2	2
EOG83FKGK	2	2
EOG83FKGM	2	2
EOG83FKGN	3	6
EOG83FKGP	2	2
EOG83FKGQ	7	7
EOG83FKGR	4	7
EOG83FKGS	3	3
EOG83FKGT	2	2
EOG83FKGW	3	3
EOG83FKGX	2	2
EOG83FKGZ	4	4
EOG83FKH0	2	2
EOG83JFJH	68	85
EOG83JFJJ	76	252
EOG83JFJK	7	8
EOG83JFJM	70	87
EOG83JFJN	74	85
EOG83JFJP	6	6
EOG83JFJQ	69	74
EOG83JFJR	71	78
EOG83JFJS	76	148
EOG83JFJT	8	9
EOG83JFJV	5	6
EOG83JFJW	28	37
EOG83JFJX	4	5
EOG83JFJZ	15	20
EOG83JFK0	26	30
EOG83JFK1	7	7
EOG83JFK2	18	48
EOG83JFK3	5	5
EOG83JFK4	5	5
EOG83JFK5	3	3
EOG83JFK6	17	18
EOG83JFK7	71	80
EOG83JFK9	76	104
EOG83JFKB	3	3
EOG83JFKC	3	4
EOG83JFKD	4	4
EOG83JFKF	5	6
EOG83JFKG	71	88
EOG83JFKH	73	87
EOG83JFKJ	73	125
EOG83JFKK	4	4
EOG83JFKM	10	10
EOG83JFKN	6	7
EOG83JFKQ	11	11
EOG83JFKR	65	65
EOG83JFKS	3	3
EOG83JFKT	50	55
EOG83JFKV	17	17
EOG83JFKW	3	3
EOG83JFKX	3	3
EOG83JFKZ	15	18
EOG83JFM0	67	69
EOG83JFM1	4	4
EOG83JFM2	71	79
EOG83JFM3	7	13
EOG83JFM4	67	67
EOG83JFM5	7	7
EOG83JFM6	5	7
EOG83JFM7	13	14
EOG83JFM8	15	16
EOG83JFM9	9	39
EOG83JFMB	2	2
EOG83JFMC	3	3
EOG83JFMD	4	4
EOG83JFMF	5	5
EOG83JFMG	7	7
EOG83JFMH	52	59
EOG83JFMM	11	13
EOG83JFMN	73	78
EOG83JFMP	74	79
EOG83JFMQ	60	63
EOG83JFMR	2	2
EOG83JFMS	14	14
EOG83JFMT	2	2
EOG83JFMV	5	12
EOG83JFMW	32	32
EOG83JFMX	5	5
EOG83JFMZ	4	4
EOG83JFN1	4	4
EOG83JFN2	9	9
EOG83JFN3	4	4
EOG83JFN4	48	50
EOG83JFN5	3	3
EOG83JFN7	4	5
EOG83JFN8	10	10
EOG83JFN9	2	2
EOG83JFNB	2	2
EOG83JFNC	9	9
EOG83JFND	8	8
EOG83JFNF	3	3
EOG83JFNH	27	27
EOG83JFNJ	4	4
EOG83JFNK	5	5
EOG83JFNM	4	5
EOG83JFNN	9	9
EOG83JFNP	5	7
EOG83JFNQ	4	4
EOG83JFNR	3	3
EOG83JFNS	3	3
EOG83JFNT	8	20
EOG83JFNV	2	2
EOG83JFNW	11	11
EOG83JFNX	13	13
EOG83JFNZ	2	2
EOG83JFP0	8	14
EOG83JFP1	5	14
EOG83JFP4	5	15
EOG83JFP5	4	5
EOG83JFP6	2	3
EOG83JFP7	2	2
EOG83JFP8	2	2
EOG83JFPB	2	2
EOG83JFPC	2	2
EOG83JFPD	5	5
EOG83JFPF	4	4
EOG83JFPG	2	2
EOG83JFPJ	2	2
EOG83JFPK	4	4
EOG83JFPM	3	11
EOG83JFPN	3	3
EOG83JFPP	3	3
EOG83JFPQ	2	3
EOG83JFPW	2	2
EOG83JFPX	2	2
EOG83JFQ0	2	2
EOG83JFQ1	3	3
EOG83JFQ2	2	2
EOG83JFQ3	2	3
EOG83JFQ5	6	6
EOG83JFQ6	2	2
EOG83JFQ7	3	3
EOG83JFQ8	3	3
EOG83JFQC	2	2
EOG83JFQG	4	5
EOG83JFQH	2	2
EOG83JFQK	2	2
EOG83JFQN	2	2
EOG83JFQP	5	34
EOG83JFQQ	2	2
EOG83JFQS	4	4
EOG83N9SF	75	91
EOG83N9SG	5	5
EOG83N9SH	72	201
EOG83N9SJ	22	80
EOG83N9SK	75	94
EOG83N9SM	1	4
EOG83N9SN	65	94
EOG83N9SP	7	8
EOG83N9SQ	62	93
EOG83N9SR	9	13
EOG83N9SS	5	5
EOG83N9ST	74	81
EOG83N9SV	47	66
EOG83N9SW	14	18
EOG83N9SX	69	82
EOG83N9SZ	72	134
EOG83N9T0	4	7
EOG83N9T1	72	84
EOG83N9T2	71	80
EOG83N9T3	24	70
EOG83N9T4	26	31
EOG83N9T5	13	14
EOG83N9T6	19	19
EOG83N9T7	6	6
EOG83N9T8	5	6
EOG83N9T9	75	88
EOG83N9TB	15	23
EOG83N9TC	7	8
EOG83N9TD	2	2
EOG83N9TF	7	7
EOG83N9TH	3	3
EOG83N9TJ	76	895
EOG83N9TK	5	6
EOG83N9TM	4	4
EOG83N9TN	6	6
EOG83N9TP	72	78
EOG83N9TQ	17	18
EOG83N9TR	42	51
EOG83N9TS	47	51
EOG83N9TT	71	72
EOG83N9TV	3	3
EOG83N9TW	13	14
EOG83N9TX	24	25
EOG83N9V0	70	72
EOG83N9V1	2	3
EOG83N9V2	3	4
EOG83N9V3	2	2
EOG83N9V4	3	3
EOG83N9V5	25	25
EOG83N9V6	4	4
EOG83N9V7	3	3
EOG83N9V8	71	89
EOG83N9V9	19	24
EOG83N9VB	2	2
EOG83N9VC	34	37
EOG83N9VD	18	21
EOG83N9VG	63	83
EOG83N9VH	2	2
EOG83N9VJ	72	75
EOG83N9VM	2	2
EOG83N9VN	4	5
EOG83N9VP	10	10
EOG83N9VQ	2	2
EOG83N9VR	6	7
EOG83N9VS	11	11
EOG83N9VT	4	4
EOG83N9VV	13	15
EOG83N9VW	76	309
EOG83N9VX	2	3
EOG83N9VZ	4	4
EOG83N9W0	7	8
EOG83N9W1	9	9
EOG83N9W2	7	7
EOG83N9W3	10	10
EOG83N9W4	17	17
EOG83N9W5	4	4
EOG83N9W6	2	3
EOG83N9W7	58	62
EOG83N9W8	6	6
EOG83N9WB	5	15
EOG83N9WC	3	3
EOG83N9WD	2	2
EOG83N9WF	33	34
EOG83N9WG	6	6
EOG83N9WH	53	55
EOG83N9WJ	11	11
EOG83N9WM	5	5
EOG83N9WN	4	4
EOG83N9WQ	61	80
EOG83N9WT	3	3
EOG83N9WV	11	12
EOG83N9WW	6	6
EOG83N9WX	3	3
EOG83N9WZ	6	7
EOG83N9X0	4	4
EOG83N9X1	6	11
EOG83N9X2	9	9
EOG83N9X3	3	3
EOG83N9X5	2	2
EOG83N9X6	2	4
EOG83N9X7	3	3
EOG83N9X9	2	2
EOG83N9XD	4	4
EOG83N9XG	2	2
EOG83N9XJ	2	2
EOG83N9XN	5	7
EOG83N9XP	2	2
EOG83N9XQ	2	2
EOG83N9XR	2	2
EOG83N9XT	3	4
EOG83N9XV	2	2
